feature-extraction,clustering-algo,run#,state,c_v,c_umass,topics,time
tf-idf,LDA,1,2,0.7057586137310572,-2.246654026109893,"[(0, '0.092*""plan"" + 0.081*""take"" + 0.053*""vote"" + 0.048*""send"" + 0.047*""thank"" + 0.044*""white"" + 0.043*""help"" + 0.042*""go"" + 0.042*""time"" + 0.041*""back""'), (1, '0.072*""request"" + 0.036*""deadlin"" + 0.036*""check"" + 0.032*""elig"" + 0.029*""day"" + 0.029*""away"" + 0.024*""today"" + 0.020*""elect"" + 0.014*""state"" + 0.012*""fjv""'), (2, '0.050*""vote"" + 0.036*""poll"" + 0.033*""cast"" + 0.032*""hotlin"" + 0.031*""voter"" + 0.031*""happi"" + 0.031*""assist"" + 0.031*""question"" + 0.030*""line"" + 0.030*""close""'), (3, '0.099*""mail"" + 0.074*""return"" + 0.062*""ballot"" + 0.039*""drop"" + 0.038*""person"" + 0.037*""design"" + 0.037*""locat"" + 0.037*""asap"" + 0.037*""option"" + 0.037*""might""'), (4, '0.006*""fight"" + 0.006*""joebiden"" + 0.005*""need"" + 0.005*""presid"" + 0.005*""peopl"" + 0.004*""health"" + 0.004*""care"" + 0.004*""right"" + 0.004*""work"" + 0.004*""join""')]",3208.214898109436
tf-idf,LDA,2,4,0.7148339767398187,-2.281800580009734,"[(0, '0.050*""vote"" + 0.036*""poll"" + 0.033*""cast"" + 0.032*""hotlin"" + 0.031*""voter"" + 0.031*""happi"" + 0.031*""assist"" + 0.031*""question"" + 0.031*""line"" + 0.030*""close""'), (1, '0.006*""fight"" + 0.006*""joebiden"" + 0.005*""need"" + 0.005*""presid"" + 0.005*""peopl"" + 0.004*""health"" + 0.004*""care"" + 0.004*""right"" + 0.004*""work"" + 0.004*""join""'), (2, '0.098*""mail"" + 0.074*""return"" + 0.062*""ballot"" + 0.039*""drop"" + 0.038*""person"" + 0.037*""design"" + 0.037*""locat"" + 0.037*""asap"" + 0.037*""option"" + 0.037*""might""'), (3, '0.072*""request"" + 0.036*""deadlin"" + 0.036*""check"" + 0.032*""elig"" + 0.029*""day"" + 0.029*""away"" + 0.024*""today"" + 0.020*""elect"" + 0.014*""state"" + 0.012*""fjv""'), (4, '0.092*""plan"" + 0.081*""take"" + 0.053*""vote"" + 0.048*""send"" + 0.047*""thank"" + 0.044*""white"" + 0.043*""help"" + 0.042*""go"" + 0.042*""time"" + 0.041*""back""')]",2788.9217200279236
tf-idf,LDA,3,6,0.7028528888014591,-2.260114909012926,"[(0, '0.092*""plan"" + 0.081*""take"" + 0.054*""vote"" + 0.048*""send"" + 0.047*""thank"" + 0.044*""white"" + 0.043*""help"" + 0.042*""go"" + 0.042*""time"" + 0.041*""back""'), (1, '0.072*""request"" + 0.036*""deadlin"" + 0.036*""check"" + 0.032*""elig"" + 0.029*""away"" + 0.029*""day"" + 0.024*""today"" + 0.020*""elect"" + 0.014*""state"" + 0.012*""fjv""'), (2, '0.006*""fight"" + 0.006*""joebiden"" + 0.005*""need"" + 0.005*""presid"" + 0.005*""peopl"" + 0.004*""health"" + 0.004*""care"" + 0.004*""right"" + 0.004*""work"" + 0.004*""join""'), (3, '0.099*""mail"" + 0.074*""return"" + 0.062*""ballot"" + 0.039*""drop"" + 0.038*""person"" + 0.037*""design"" + 0.037*""locat"" + 0.037*""asap"" + 0.037*""option"" + 0.037*""might""'), (4, '0.050*""vote"" + 0.036*""poll"" + 0.033*""cast"" + 0.032*""hotlin"" + 0.031*""voter"" + 0.031*""happi"" + 0.031*""assist"" + 0.031*""question"" + 0.031*""line"" + 0.030*""close""')]",3532.9595646858215
tf-idf,LDA,4,8,0.6743088704516514,-2.2660271222960793,"[(0, '0.098*""mail"" + 0.072*""return"" + 0.063*""ballot"" + 0.038*""drop"" + 0.037*""state"" + 0.037*""person"" + 0.037*""design"" + 0.036*""fjv"" + 0.036*""locat"" + 0.036*""asap""'), (1, '0.071*""request"" + 0.036*""deadlin"" + 0.031*""elig"" + 0.029*""day"" + 0.029*""away"" + 0.028*""check"" + 0.024*""today"" + 0.020*""elect"" + 0.009*""approach"" + 0.004*""impeach""'), (2, '0.006*""fight"" + 0.006*""joebiden"" + 0.005*""need"" + 0.005*""presid"" + 0.005*""peopl"" + 0.005*""health"" + 0.004*""care"" + 0.004*""right"" + 0.004*""work"" + 0.004*""join""'), (3, '0.051*""vote"" + 0.036*""poll"" + 0.033*""cast"" + 0.032*""hotlin"" + 0.032*""voter"" + 0.032*""assist"" + 0.032*""happi"" + 0.031*""question"" + 0.031*""line"" + 0.030*""close""'), (4, '0.090*""plan"" + 0.079*""take"" + 0.054*""vote"" + 0.047*""send"" + 0.046*""thank"" + 0.043*""white"" + 0.042*""help"" + 0.042*""go"" + 0.041*""time"" + 0.040*""back""')]",3243.8712623119354
tf-idf,LDA,5,10,0.7022648856351515,-2.2538226612549566,"[(0, '0.092*""plan"" + 0.081*""take"" + 0.054*""vote"" + 0.048*""send"" + 0.047*""thank"" + 0.044*""white"" + 0.043*""help"" + 0.042*""go"" + 0.042*""time"" + 0.041*""back""'), (1, '0.098*""mail"" + 0.074*""return"" + 0.062*""ballot"" + 0.039*""drop"" + 0.038*""person"" + 0.037*""design"" + 0.037*""locat"" + 0.037*""asap"" + 0.037*""option"" + 0.037*""might""'), (2, '0.050*""vote"" + 0.036*""poll"" + 0.033*""cast"" + 0.032*""hotlin"" + 0.031*""voter"" + 0.031*""assist"" + 0.031*""happi"" + 0.031*""question"" + 0.031*""line"" + 0.030*""close""'), (3, '0.072*""request"" + 0.036*""deadlin"" + 0.036*""check"" + 0.032*""elig"" + 0.029*""day"" + 0.029*""away"" + 0.024*""today"" + 0.020*""elect"" + 0.014*""state"" + 0.012*""fjv""'), (4, '0.006*""fight"" + 0.006*""joebiden"" + 0.005*""need"" + 0.005*""presid"" + 0.005*""peopl"" + 0.004*""health"" + 0.004*""care"" + 0.004*""right"" + 0.004*""work"" + 0.004*""join""')]",2982.242742061615
tf-idf,Parallel LDA,1,2,0.5548008749462111,-2.6863836696892167,"[(0, '0.062*""vote"" + 0.049*""plan"" + 0.043*""take"" + 0.036*""remind"" + 0.035*""alreadi"" + 0.029*""repli"" + 0.028*""stop"" + 0.025*""send"" + 0.025*""thank"" + 0.024*""poll""'), (1, '0.006*""health"" + 0.006*""care"" + 0.005*""american"" + 0.005*""work"" + 0.005*""presid"" + 0.005*""job"" + 0.004*""need"" + 0.004*""protect"" + 0.004*""busi"" + 0.004*""economi""'), (2, '0.075*""mail"" + 0.063*""return"" + 0.047*""ballot"" + 0.033*""drop"" + 0.033*""person"" + 0.033*""locat"" + 0.032*""design"" + 0.032*""asap"" + 0.032*""option"" + 0.032*""might""'), (3, '0.007*""democrat"" + 0.006*""impeach"" + 0.006*""presid"" + 0.004*""biden"" + 0.004*""peopl"" + 0.003*""want"" + 0.003*""never"" + 0.003*""republican"" + 0.003*""medium"" + 0.003*""fake""'), (4, '0.007*""great"" + 0.007*""presid"" + 0.005*""today"" + 0.005*""penc"" + 0.004*""nation"" + 0.004*""whitehous"" + 0.004*""join"" + 0.004*""mike"" + 0.004*""live"" + 0.004*""make""')]",699.4985122680664
tf-idf,Parallel LDA,2,4,0.5954104713486303,-2.357970442804821,"[(0, '0.047*""plan"" + 0.042*""take"" + 0.041*""mail"" + 0.039*""vote"" + 0.035*""return"" + 0.033*""fjv"" + 0.032*""forget"" + 0.027*""repli"" + 0.026*""stop"" + 0.025*""ballot""'), (1, '0.064*""vote"" + 0.045*""poll"" + 0.044*""hotlin"" + 0.044*""assist"" + 0.043*""question"" + 0.043*""happi"" + 0.043*""cast"" + 0.043*""line"" + 0.042*""close"" + 0.042*""voter""'), (2, '0.006*""health"" + 0.006*""care"" + 0.005*""american"" + 0.005*""presid"" + 0.005*""job"" + 0.005*""work"" + 0.004*""protect"" + 0.004*""need"" + 0.004*""economi"" + 0.004*""million""'), (3, '0.008*""democrat"" + 0.006*""impeach"" + 0.006*""presid"" + 0.004*""biden"" + 0.004*""peopl"" + 0.004*""want"" + 0.003*""elect"" + 0.003*""news"" + 0.003*""campaign"" + 0.003*""know""'), (4, '0.007*""great"" + 0.007*""presid"" + 0.005*""nation"" + 0.005*""whitehous"" + 0.005*""penc"" + 0.005*""mike"" + 0.005*""today"" + 0.005*""tune"" + 0.004*""live"" + 0.004*""honor""')]",689.0686855316162
tf-idf,Parallel LDA,3,6,0.5464157886736118,-2.616639180136376,"[(0, '0.006*""health"" + 0.005*""care"" + 0.005*""american"" + 0.005*""presid"" + 0.005*""work"" + 0.005*""job"" + 0.004*""need"" + 0.004*""protect"" + 0.004*""economi"" + 0.004*""million""'), (1, '0.007*""democrat"" + 0.006*""presid"" + 0.006*""impeach"" + 0.005*""biden"" + 0.004*""peopl"" + 0.004*""news"" + 0.003*""want"" + 0.003*""never"" + 0.003*""fake"" + 0.003*""medium""'), (2, '0.071*""plan"" + 0.064*""take"" + 0.047*""vote"" + 0.037*""send"" + 0.037*""thank"" + 0.034*""fjv"" + 0.034*""white"" + 0.034*""go"" + 0.033*""help"" + 0.032*""time""'), (3, '0.048*""vote"" + 0.041*""return"" + 0.038*""mail"" + 0.033*""leav"" + 0.028*""poll"" + 0.026*""repli"" + 0.026*""cast"" + 0.026*""hotlin"" + 0.026*""assist"" + 0.026*""question""'), (4, '0.008*""great"" + 0.006*""presid"" + 0.005*""today"" + 0.005*""penc"" + 0.004*""tune"" + 0.004*""nation"" + 0.004*""mike"" + 0.004*""make"" + 0.004*""honor"" + 0.004*""join""')]",716.2479348182678
tf-idf,Parallel LDA,4,8,0.7059984120994225,-1.7508595279752035,"[(0, '0.072*""mail"" + 0.059*""return"" + 0.047*""ballot"" + 0.031*""state"" + 0.031*""locat"" + 0.031*""person"" + 0.031*""drop"" + 0.030*""design"" + 0.030*""asap"" + 0.030*""option""'), (1, '0.087*""plan"" + 0.078*""take"" + 0.050*""vote"" + 0.046*""send"" + 0.045*""thank"" + 0.042*""white"" + 0.041*""go"" + 0.040*""help"" + 0.039*""time"" + 0.039*""back""'), (2, '0.006*""democrat"" + 0.005*""presid"" + 0.004*""peopl"" + 0.004*""care"" + 0.004*""american"" + 0.004*""health"" + 0.003*""impeach"" + 0.003*""republican"" + 0.003*""work"" + 0.003*""need""'), (3, '0.063*""vote"" + 0.046*""poll"" + 0.045*""hotlin"" + 0.044*""assist"" + 0.044*""question"" + 0.043*""happi"" + 0.043*""cast"" + 0.043*""line"" + 0.043*""voter"" + 0.043*""close""'), (4, '0.007*""presid"" + 0.007*""great"" + 0.005*""today"" + 0.004*""whitehous"" + 0.004*""penc"" + 0.004*""nation"" + 0.004*""mike"" + 0.004*""live"" + 0.004*""join"" + 0.004*""work""')]",705.0359134674072
tf-idf,Parallel LDA,5,10,0.5578760503505171,-2.6858880726475505,"[(0, '0.007*""democrat"" + 0.006*""impeach"" + 0.006*""presid"" + 0.004*""biden"" + 0.004*""peopl"" + 0.003*""want"" + 0.003*""never"" + 0.003*""republican"" + 0.003*""court"" + 0.003*""medium""'), (1, '0.006*""health"" + 0.006*""care"" + 0.005*""american"" + 0.005*""presid"" + 0.005*""work"" + 0.005*""job"" + 0.004*""protect"" + 0.004*""need"" + 0.004*""whitehous"" + 0.004*""economi""'), (2, '0.007*""great"" + 0.006*""presid"" + 0.005*""today"" + 0.005*""tune"" + 0.004*""penc"" + 0.004*""nation"" + 0.004*""join"" + 0.004*""mike"" + 0.004*""make"" + 0.004*""honor""'), (3, '0.062*""vote"" + 0.051*""plan"" + 0.046*""take"" + 0.036*""remind"" + 0.035*""alreadi"" + 0.029*""repli"" + 0.028*""stop"" + 0.027*""send"" + 0.026*""thank"" + 0.025*""white""'), (4, '0.073*""mail"" + 0.060*""return"" + 0.047*""ballot"" + 0.031*""state"" + 0.031*""drop"" + 0.031*""locat"" + 0.031*""person"" + 0.030*""design"" + 0.030*""asap"" + 0.030*""option""')]",706.6467897891998
